55,0,500,10
93,1,500,10
63,0,500,10
149,0,500,10
185,1,500,10
200,0,500,10
366,1,500,10
380,1,500,10
334,0,500,10
365,0,500,10
437,0,500,10
499,0,500,10
487,0,500,10
656,1,500,10
504,0,500,10
575,0,500,10
863,2,500,10
593,0,500,10
774,1,500,10
745,1,500,10
777,0,500,10
1153,1,500,10
881,0,500,10
1568,2,500,10
1245,0,500,10
1458,0,500,10
1895,2,500,10
1350,0,500,10
1340,0,500,10
1259,0,500,10
1240,0,500,10
1132,0,500,10
1112,0,500,10
1487,0,500,10
1419,0,500,10
2187,3,500,10
1165,0,500,10
1126,0,500,10
1750,0,500,10
1683,0,500,10
1654,0,500,10
2067,1,500,10
2006,1,500,10
2273,2,500,10
1531,0,500,10
1387,0,500,10
1337,0,500,10
1258,0,500,10
2042,0,500,10
2398,1,500,10
2378,1,500,10
2313,1,500,10
1783,0,500,10
2051,0,500,10
2133,0,500,10
3234,3,500,10
3201,2,500,10
2970,1,500,10
2942,1,500,10
2917,1,500,10
2868,1,500,10
2792,1,500,10
3367,2,500,10
1693,0,500,10
2831,1,500,10
3273,1,500,10
3387,2,500,10
2480,0,500,10
2644,0,500,10
2575,0,500,10
2518,0,500,10
2387,0,500,10
3236,1,500,10
3166,1,500,10
3147,1,500,10
3105,1,500,10
2048,0,500,10
2414,0,500,10
2375,0,500,10
4056,2,500,10
2969,0,500,10
2923,0,500,10
4023,1,500,10
4263,2,500,10
2921,0,500,10
2883,0,500,10
2854,0,500,10
2822,0,500,10
2974,0,500,10
3322,0,500,10
3273,0,500,10
3264,0,500,10
3160,0,500,10
4662,1,500,10
4503,1,500,10
4423,1,500,10
4423,1,500,10
4624,1,500,10
4611,1,500,10
4504,1,500,10
4431,1,500,10
4951,1,500,10
4586,1,500,10
4107,1,500,10
5729,3,500,10
5196,2,500,10
5307,2,500,10
5269,2,500,10
5959,3,500,10
5971,3,500,10
5955,3,500,10
6118,2,500,10
5187,1,500,10
5180,1,500,10
5170,1,500,10
5148,1,500,10
4781,1,500,10
6185,2,500,10
5597,2,500,10
5553,2,500,10
5470,2,500,10
5391,2,500,10
5475,2,500,10
6442,2,500,10
7586,3,500,10
7268,2,500,10
7179,2,500,10
6308,1,500,10
6899,2,500,10
8549,2,500,10
8529,2,500,10
8429,2,500,10
8421,2,500,10
8380,2,500,10
8071,2,500,10
7980,2,500,10
7842,2,500,10
7552,2,500,10
7489,2,500,10
9594,3,500,10
9497,2,500,10
9237,2,500,10
11213,3,500,10
11524,3,500,10
11614,3,500,10
11593,3,500,10
11084,3,500,10
11075,3,500,10
11730,3,500,10
11688,3,500,10
11619,3,500,10
11588,3,500,10
11984,4,500,10
11420,3,500,10
11402,3,500,10
11558,3,500,10
11498,3,500,10
11389,3,500,10
11293,3,500,10
11175,3,500,10
12149,3,500,10
12139,3,500,10
12099,3,500,10
12041,3,500,10
11977,3,500,10
12412,4,500,10
12143,3,500,10
12863,4,500,10
12853,4,500,10
12664,4,500,10
12546,4,500,10
12477,4,500,10
12278,4,500,10
12741,3,500,10
12701,3,500,10
12435,4,500,10
12575,3,500,10
12252,4,500,10
13961,3,500,10
13586,3,500,10
13985,3,500,10
13866,3,500,10
13765,3,500,10
13678,3,500,10
14440,3,500,10
14282,3,500,10
14158,3,500,10
14142,3,500,10
14120,3,500,10
14022,3,500,10
13842,3,500,10
13761,3,500,10
15029,2,500,10
14807,5,500,10
18313,1,500,10
18304,1,500,10
18207,1,500,10
18155,1,500,10
17917,1,500,10
28099,1,500,10
